 1.19615823E+01   3456.0 1.196E+01 1.294E+07 6.632E-06 5.383E-05 2.000E+05 0.000E+00 0.000E+00 6.378E+05
 1.56727271E+01   3461.4 1.567E+01 1.535E+07 6.842E-06 5.392E-05 2.000E+05 0.000E+00 0.000E+00 6.340E+05
 2.04610767E+01   3466.4 2.046E+01 1.815E+07 7.084E-06 5.402E-05 2.000E+05 0.000E+00 0.000E+00 6.312E+05
 2.66148006E+01   3471.6 2.661E+01 2.142E+07 7.366E-06 5.415E-05 2.000E+05 0.000E+00 0.000E+00 6.290E+05
 3.44933642E+01   3476.7 3.449E+01 2.523E+07 7.684E-06 5.430E-05 2.000E+05 0.000E+00 0.000E+00 6.274E+05
 4.45471745E+01   3481.9 4.455E+01 2.967E+07 8.043E-06 5.448E-05 2.000E+05 0.000E+00 0.000E+00 6.261E+05
 5.73310709E+01   3487.4 5.733E+01 3.489E+07 8.450E-06 5.468E-05 2.000E+05 0.000E+00 0.000E+00 6.251E+05
 7.35225971E+01   3493.3 7.352E+01 4.106E+07 8.915E-06 5.493E-05 2.000E+05 0.000E+00 0.000E+00 6.242E+05
 9.39445168E+01   3499.7 9.394E+01 4.842E+07 9.445E-06 5.522E-05 2.000E+05 0.000E+00 0.000E+00 6.236E+05
 1.19583633E+02   3506.9 1.196E+02 5.726E+07 1.006E-05 5.556E-05 2.000E+05 0.000E+00 0.000E+00 6.230E+05
 1.51603025E+02   3515.1 1.516E+02 6.799E+07 1.077E-05 5.598E-05 2.000E+05 0.000E+00 0.000E+00 6.225E+05
 1.91349015E+02   3524.6 1.913E+02 8.118E+07 1.161E-05 5.649E-05 2.000E+05 0.000E+00 0.000E+00 6.221E+05
 2.40346373E+02   3535.4 2.403E+02 9.753E+07 1.260E-05 5.712E-05 2.000E+05 0.000E+00 0.000E+00 6.217E+05
 3.00261869E+02   3548.0 3.002E+02 1.181E+08 1.380E-05 5.789E-05 2.000E+05 0.000E+00 0.000E+00 6.215E+05
 3.72844948E+02   3562.6 3.728E+02 1.442E+08 1.526E-05 5.887E-05 2.000E+05 0.000E+00 0.000E+00 6.215E+05
 4.59865633E+02   3579.3 4.598E+02 1.778E+08 1.707E-05 6.011E-05 2.000E+05 0.000E+00 0.000E+00 6.217E+05
 5.62938284E+02   3598.5 5.629E+02 2.217E+08 1.935E-05 6.170E-05 2.000E+05 0.000E+00 0.000E+00 6.223E+05
 6.83352674E+02   3620.6 6.833E+02 2.795E+08 2.224E-05 6.377E-05 2.000E+05 0.000E+00 0.000E+00 6.232E+05
 8.21884044E+02   3645.8 8.218E+02 3.569E+08 2.599E-05 6.649E-05 2.000E+05 0.000E+00 0.000E+00 6.246E+05
 9.78564782E+02   3674.3 9.785E+02 4.617E+08 3.092E-05 7.010E-05 2.000E+05 0.000E+00 0.000E+00 6.265E+05
 1.15259474E+03   3706.5 1.153E+03 6.048E+08 3.746E-05 7.494E-05 2.000E+05 0.000E+00 0.000E+00 6.291E+05
 1.34225222E+03   3742.5 1.342E+03 8.028E+08 4.628E-05 8.148E-05 2.000E+05 0.000E+00 0.000E+00 6.323E+05
 1.54495174E+03   3782.6 1.545E+03 1.080E+09 5.830E-05 9.037E-05 2.000E+05 0.000E+00 0.000E+00 6.361E+05
 1.75740821E+03   3827.1 1.757E+03 1.472E+09 7.491E-05 1.026E-04 2.000E+05 0.000E+00 0.000E+00 6.406E+05
 1.97555759E+03   3876.8 1.975E+03 2.039E+09 9.833E-05 1.195E-04 2.000E+05 0.000E+00 0.000E+00 6.458E+05
 2.19487685E+03   3932.3 2.195E+03 2.874E+09 1.318E-04 1.433E-04 2.000E+05 0.000E+00 0.000E+00 6.517E+05
 2.41067647E+03   3994.5 2.410E+03 4.133E+09 1.806E-04 1.772E-04 2.000E+05 0.000E+00 0.000E+00 6.583E+05
 2.61838674E+03   4064.3 2.618E+03 6.075E+09 2.531E-04 2.263E-04 2.000E+05 0.000E+00 0.000E+00 6.656E+05
 2.81361909E+03   4143.6 2.813E+03 9.176E+09 3.636E-04 2.993E-04 2.000E+05 6.109E-04 0.000E+00 6.735E+05
 2.99244399E+03   4234.0 2.992E+03 1.429E+10 5.363E-04 4.100E-04 2.000E+05 9.480E-01 7.071E+01 6.822E+05
 3.15214383E+03   4336.8 3.152E+03 2.294E+10 8.108E-04 5.818E-04 2.000E+05 3.240E+01 8.125E+02 6.917E+05
 3.29107741E+03   4454.7 3.291E+03 3.819E+10 1.260E-03 8.562E-04 2.000E+05 6.432E+02 2.576E+03 7.019E+05
 3.40878196E+03   4589.4 3.408E+03 6.586E+10 2.007E-03 1.308E-03 2.000E+05 1.084E+04 6.874E+03 7.131E+05
 3.50622446E+03   4743.5 3.505E+03 1.178E+11 3.272E-03 2.061E-03 2.000E+05 1.389E+05 1.757E+04 7.251E+05
 3.58435966E+03   4925.7 3.583E+03 2.224E+11 5.552E-03 3.420E-03 2.000E+05 4.393E+05 4.078E+04 7.384E+05
 3.64454765E+03   5139.5 3.643E+03 4.412E+11 9.784E-03 5.958E-03 2.000E+05 2.554E+06 4.811E+04 7.528E+05
 3.68927953E+03   5388.2 3.688E+03 9.125E+11 1.787E-02 1.076E-02 2.000E+05 1.616E+07 1.067E+05 7.673E+05
 3.72090856E+03   5681.8 3.719E+03 1.979E+12 3.434E-02 1.952E-02 2.000E+05 1.013E+08 1.923E+05 7.807E+05
 3.74351590E+03   5964.9 3.741E+03 3.882E+12 6.176E-02 2.920E-02 2.000E+05 3.368E+08 3.550E+05 7.889E+05
 3.76117673E+03   6208.3 3.758E+03 6.599E+12 9.984E-02 3.369E-02 2.000E+05 6.615E+08 4.639E+05 7.922E+05
 3.77665239E+03   6401.7 3.773E+03 9.775E+12 1.443E-01 3.267E-02 2.000E+05 9.288E+08 5.078E+05 7.929E+05
 3.79138438E+03   6568.0 3.787E+03 1.345E+13 1.967E-01 3.086E-02 2.000E+05 1.097E+09 5.265E+05 7.925E+05
